State,Year,Month,Day,Rainfall (mm)
Johor,2016,3,9,1.50
Johor,2016,3,10,9.53
Johor,2016,3,11,1.30
Johor,2016,3,12,3.20
Johor,2016,3,13,54.32
Johor,2016,3,14,47.61
Johor,2016,3,15,1.59
Johor,2016,3,16,38.36
Johor,2016,3,17,54.53
Johor,2016,3,18,15.14
Johor,2016,3,19,6.37
Johor,2016,3,20,1.98
Johor,2016,3,21,1.68
Johor,2016,3,22,1.60
Johor,2016,3,23,2.56
Johor,2016,3,24,1.65
Johor,2016,3,25,0.24
Johor,2016,3,26,0.08
Johor,2016,3,27,0.73
Johor,2016,3,28,3.86
Johor,2016,3,29,7.17
Johor,2016,3,30,4.71
Johor,2016,3,31,9.89
Johor,2016,4,1,15.91
Johor,2016,4,2,33.77
Johor,2016,4,3,15.65
Johor,2016,4,4,17.51
Johor,2016,4,5,27.98
Johor,2016,4,6,47.48
Johor,2016,4,7,23.87
Johor,2016,4,8,17.12
Johor,2016,4,9,2.12
Johor,2016,4,10,0.12
Johor,2016,4,11,9.91
Johor,2016,4,12,4.66
Johor,2016,4,13,0.96
Johor,2016,4,14,3.45
Johor,2016,4,15,0.04
Johor,2016,4,16,0.00
Johor,2016,4,17,0.17
Johor,2016,4,18,0.19
Johor,2016,4,19,0.17
Johor,2016,4,20,1.72
Johor,2016,4,21,1.94
Johor,2016,4,22,4.05
Johor,2016,4,23,2.77
Johor,2016,4,24,0.01
Johor,2016,4,25,0.84
Johor,2016,4,26,0.18
Johor,2016,4,27,0.21
Johor,2016,4,28,0.09
Johor,2016,4,29,0.00
Johor,2016,4,30,0.00
Johor,2016,5,1,0.01
Johor,2016,5,2,0.05
Johor,2016,5,3,0.00
Johor,2016,5,4,0.00
Johor,2016,5,5,0.02
Johor,2016,5,6,0.02
Johor,2016,5,7,2.16
Johor,2016,5,8,2.55
Johor,2016,5,9,1.19
Johor,2016,5,10,2.34
Johor,2016,5,11,2.31
Johor,2016,5,12,10.15
Johor,2016,5,13,6.49
Johor,2016,5,14,5.30
Johor,2016,5,15,6.00
Johor,2016,5,16,11.38
Johor,2016,5,17,9.35
Johor,2016,5,18,9.43
Johor,2016,5,19,4.77
Johor,2016,5,20,9.72
Johor,2016,5,21,20.65
Johor,2016,5,22,32.68
Johor,2016,5,23,3.14
Johor,2016,5,24,13.02
Johor,2016,5,25,3.80
Johor,2016,5,26,5.44
Johor,2016,5,27,6.97
Johor,2016,5,28,2.31
Johor,2016,5,29,0.51
Johor,2016,5,30,0.36
Johor,2016,5,31,1.36
Johor,2016,6,1,5.50
Johor,2016,6,2,0.84
Johor,2016,6,3,1.94
Johor,2016,6,4,6.34
Johor,2016,6,5,9.53
Johor,2016,6,6,0.20
Johor,2016,6,7,0.00
Johor,2016,6,8,1.57
Johor,2016,6,9,0.63
Johor,2016,6,10,0.07
Johor,2016,6,11,4.99
Johor,2016,6,12,13.15
Johor,2016,6,13,2.67
Johor,2016,6,14,3.17
Johor,2016,6,15,1.79
Johor,2016,6,16,1.60
Johor,2016,6,17,4.02
Johor,2016,6,18,15.64
Johor,2016,6,19,20.13
Johor,2016,6,20,0.46
Johor,2016,6,21,1.28
Johor,2016,6,22,2.33
Johor,2016,6,23,2.60
Johor,2016,6,24,4.47
Johor,2016,6,25,0.93
Johor,2016,6,26,0.06
Johor,2016,6,27,0.00
Johor,2016,6,28,0.17
Johor,2016,6,29,0.74
Johor,2016,6,30,1.45
Johor,2016,7,1,1.18
Johor,2016,7,2,0.03
Johor,2016,7,3,0.93
Johor,2016,7,4,0.86
Johor,2016,7,5,1.95
Johor,2016,7,6,1.90
Johor,2016,7,7,1.69
Johor,2016,7,8,0.59
Johor,2016,7,9,0.34
Johor,2016,7,10,0.28
Johor,2016,7,11,3.89
Johor,2016,7,12,18.07
Johor,2016,7,13,27.79
Johor,2016,7,14,9.86
Johor,2016,7,15,1.41
Johor,2016,7,16,0.12
Johor,2016,7,17,0.11
